Team,Time1,Table1,Time2,Table2,Time3,Table3
74,0.409722222,Purple 2,0.440972222,Gold 1,0.607638889,Purple 1
336,0.479166667,Gold 2,0.517361111,Purple 1,0.583333333,Gold 1
1562,0.409722222,Purple 4,0.440972222,Gold 3,0.607638889,Purple 2
3131,0.489583333,Purple 1,0.520833333,Gold 4,0.59375,Purple 3
3132,0.486111111,Gold 4,0.524305556,Purple 3,0.590277778,Gold 2
3199,0.479166667,Gold 3,0.517361111,Purple 2,0.583333333,Gold 4
3832,0.416666667,Purple 2,0.447916667,Gold 1,0.614583333,Purple 1
9532,0.482638889,Purple 4,0.513888889,Gold 3,0.586805556,Purple 2
12471,0.493055556,Gold 2,0.53125,Purple 1,0.597222222,Gold 1
12472,0.493055556,Gold 4,0.53125,Purple 3,0.597222222,Gold 2
18081,0.409722222,Purple 1,0.440972222,Gold 4,0.607638889,Purple 3
18165,0.409722222,Purple 3,0.440972222,Gold 2,0.607638889,Purple 4
19707,0.493055556,Gold 1,0.53125,Purple 4,0.597222222,Gold 3
20835,0.482638889,Purple 1,0.513888889,Gold 4,0.586805556,Purple 3
24791,0.482638889,Purple 3,0.513888889,Gold 2,0.586805556,Purple 4
25186,0.413194444,Gold 2,0.451388889,Purple 1,0.611111111,Gold 1
25283,0.413194444,Gold 4,0.451388889,Purple 3,0.611111111,Gold 2
25443,0.413194444,Gold 1,0.451388889,Purple 4,0.611111111,Gold 3
26840,0.416666667,Purple 3,0.447916667,Gold 2,0.614583333,Purple 4
26858,0.482638889,Purple 2,0.513888889,Gold 1,0.586805556,Purple 1
28052,0.493055556,Gold 3,0.53125,Purple 2,0.597222222,Gold 4
32041,0.486111111,Gold 2,0.524305556,Purple 1,0.590277778,Gold 1
32049,0.416666667,Purple 4,0.447916667,Gold 3,0.614583333,Purple 2
32304,0.479166667,Gold 1,0.517361111,Purple 4,0.583333333,Gold 3
32307,0.486111111,Gold 1,0.524305556,Purple 4,0.590277778,Gold 3
32340,0.416666667,Purple 1,0.447916667,Gold 4,0.614583333,Purple 3
32690,0.496527778,Purple 2,0.527777778,Gold 1,0.600694444,Purple 1
33332,0.486111111,Gold 3,0.524305556,Purple 2,0.590277778,Gold 4
33342,0.496527778,Purple 4,0.527777778,Gold 3,0.600694444,Purple 2
34136,0.413194444,Gold 3,0.451388889,Purple 2,0.611111111,Gold 4
34383,0.420138889,Gold 2,0.458333333,Purple 1,0.618055556,Gold 1
34471,0.489583333,Purple 2,0.520833333,Gold 1,0.59375,Purple 1
34682,0.420138889,Gold 4,0.458333333,Purple 3,0.618055556,Gold 2
34690,0.496527778,Purple 1,0.527777778,Gold 4,0.600694444,Purple 3
34691,0.496527778,Purple 3,0.527777778,Gold 2,0.600694444,Purple 4
36756,0.40625,Gold 2,0.444444444,Purple 1,0.604166667,Gold 1
38020,0.40625,Gold 4,0.444444444,Purple 3,0.604166667,Gold 2
38385,0.40625,Gold 1,0.444444444,Purple 4,0.604166667,Gold 3
38404,0.489583333,Purple 4,0.520833333,Gold 3,0.59375,Purple 2
38731,0.479166667,Gold 4,0.517361111,Purple 3,0.583333333,Gold 2
38768,0.420138889,Gold 1,0.458333333,Purple 4,0.618055556,Gold 3
38978,0.420138889,Gold 3,0.458333333,Purple 2,0.618055556,Gold 4
39822,0.423611111,Purple 2,0.454861111,Gold 1,0.621527778,Purple 1
40535,0.40625,Gold 3,0.444444444,Purple 2,0.604166667,Gold 4
41183,0.423611111,Purple 4,0.454861111,Gold 3,0.621527778,Purple 2
41231,0.423611111,Purple 1,0.454861111,Gold 4,0.621527778,Purple 3
41929,0.423611111,Purple 3,0.454861111,Gold 2,0.621527778,Purple 4
42789,0.489583333,Purple 3,0.520833333,Gold 2,0.59375,Purple 4